client_id,date,kind,value,,,,,,,,,,
da0076,6/18/2024,D,873.00,,,,,,,,,,
ff0174,6/28/2024,C,"3,636.00",,,,,,,,,,
eb0005,6/25/2024,D,"2,245.00",,,,,,,,,,
fa0054,6/10/2024,D,"4,572.00",,,,,,,,,,
ca0139,6/25/2024,D,"354,599.00",,,,,,,,,,
da0036,6/9/2024,D,"10,212.00",,,,,,,,,,
ed0109,6/11/2024,D,770.00,,,,,,,,,,
hh0080,6/4/2024,D,"13,493.00",,,,,,,,,,
aa0081,6/7/2024,C,"223,243.00",,,,,,,,,,
gd0055,6/27/2024,D,"113,119.00",,,,,,,,,,
eh0053,6/20/2024,C,"39,156.00",,,,,,,,,,
fa0126,6/21/2024,D,"4,607.00",,,,,,,,,,
bh0170,6/23/2024,D,"11,985.00",,,,,,,,,,
af0129,6/26/2024,D,"8,014.00",,,,,,,,,,
ce0155,6/26/2024,C,"157,169.00",,,,,,,,,,
hg0160,6/10/2024,D,"471,700.00",,,,,,,,,,
ch0107,6/14/2024,D,"12,785.00",,,,,,,,,,
hf0120,6/13/2024,C,"80,849.00",,,,,,,,,,
cf0075,6/10/2024,C,"69,857.00",,,,,,,,,,
ga0135,6/30/2024,C,"131,550.00",,,,,,,,,,
ec0141,6/24/2024,D,"12,335.00",,,,,,,,,,
bf0138,6/1/2024,C,"8,167.00",,,,,,,,,,
df0156,6/11/2024,D,"212,222.00",,,,,,,,,,
cc0051,6/24/2024,D,"32,754.00",,,,,,,,,,
fg0142,6/21/2024,D,"10,111.00",,,,,,,,,,
ff0030,6/18/2024,C,"112,755.00",,,,,,,,,,
dd0172,6/3/2024,D,"48,198.00",,,,,,,,,,
dh0116,6/12/2024,C,"6,971.00",,,,,,,,,,
hb0104,6/28/2024,C,"32,322.00",,,,,,,,,,
gg0007,6/6/2024,C,"72,976.00",,,,,,,,,,
hb0032,6/10/2024,C,"5,713.00",,,,,,,,,,
bg0034,6/6/2024,C,"68,671.00",,,,,,,,,,
ea0189,6/18/2024,D,"25,080.00",,,,,,,,,,
ab0113,6/14/2024,D,"20,843.00",,,,,,,,,,
he0200,6/16/2024,D,"52,343.00",,,,,,,,,,
ac0105,6/24/2024,D,"73,389.00",,,,,,,,,,
aa0049,6/3/2024,D,"14,558.00",,,,,,,,,,
be0074,6/16/2024,D,"350,754.00",,,,,,,,,,
